Date,Total_Cases
2021-05-01,32426535
2021-05-02,32462590
2021-05-03,32495833
2021-05-04,32539421
2021-05-05,32584476
2021-05-06,32628118
2021-05-07,32671923
2021-05-08,32708739
2021-05-09,32735933
2021-05-10,32759802
2021-05-11,32794344
2021-05-12,32828941
2021-05-13,32865014
2021-05-14,32898882
2021-05-15,32928587
2021-05-16,32949748
2021-05-17,32968689
2021-05-18,32997189
2021-05-19,33025356
2021-05-20,33053631
2021-05-21,33080254
2021-05-22,33103495
2021-05-23,33118905
2021-05-24,33134562
2021-05-25,33157963
2021-05-26,33181938
2021-05-27,33203724
2021-05-28,33224447
2021-05-29,33240169
2021-05-30,33251983
2021-05-31,33261183
2021-06-01,33270873
2021-06-02,33286986
2021-06-03,33305567
2021-06-04,33324500
2021-06-05,33340046
2021-06-06,33352149
2021-06-07,33362274
2021-06-08,33376631
2021-06-09,33396506
2021-06-10,33413239
2021-06-11,33427769
2021-06-12,33439672
2021-06-13,33448265
2021-06-14,33456341
2021-06-15,33469564
2021-06-16,33483295
2021-06-17,33496877
2021-06-18,33508318
2021-06-19,33520031
2021-06-20,33529269
2021-06-21,33537707
2021-06-22,33551346
2021-06-23,33565932
2021-06-24,33581353
2021-06-25,33594932
2021-06-26,33607501
2021-06-27,33616914
2021-06-28,33626661
2021-06-29,33642964
2021-06-30,33660415
2021-07-01,33679286
2021-07-02,33696271
2021-07-03,33711388
2021-07-04,33724251
2021-07-05,33735891
2021-07-06,33751019
2021-07-07,33774766
2021-07-08,33804813
2021-07-09,33834882
2021-07-10,33859227
2021-07-11,33880315
2021-07-12,33903175
2021-07-13,33938216
2021-07-14,33978210
2021-07-15,34020566
2021-07-16,34063457
2021-07-17,34100975
2021-07-18,34136606
2021-07-19,34172575
2021-07-20,34222584
2021-07-21,34286635
2021-07-22,34356813
2021-07-23,34425070
2021-07-24,34484361
2021-07-25,34535922
2021-07-26,34588418
2021-07-27,34669114
2021-07-28,34759637
2021-07-29,34852240
2021-07-30,34957233
2021-07-31,35044639
