Date,2021 Traveler Throughput
2021-05-01,1335535
2021-05-02,1626962
2021-05-03,1463672
2021-05-04,1134103
2021-05-05,1268938
2021-05-06,1644050
2021-05-07,1703267
2021-05-08,1429657
2021-05-09,1707805
2021-05-10,1657722
2021-05-11,1315493
2021-05-12,1424664
2021-05-13,1743515
2021-05-14,1716561
2021-05-15,1453267
2021-05-16,1850531
2021-05-17,1734541
2021-05-18,1408017
2021-05-19,1496089
2021-05-20,1728496
2021-05-21,1820433
2021-05-22,1550044
2021-05-23,1863697
2021-05-24,1747353
2021-05-25,1470840
2021-05-26,1618169
2021-05-27,1854534
2021-05-28,1959593
2021-05-29,1605810
2021-05-30,1650454
2021-05-31,1900170
2021-06-01,1682752
2021-06-02,1587910
2021-06-03,1815931
2021-06-04,1879885
2021-06-05,1681192
2021-06-06,1984658
2021-06-07,1828396
2021-06-08,1560561
2021-06-09,1669537
2021-06-10,1975189
2021-06-11,2028961
2021-06-12,1812797
2021-06-13,2097433
2021-06-14,1800954
2021-06-15,1678688
2021-06-16,1792370
2021-06-17,2039425
2021-06-18,2081115
2021-06-19,1882381
2021-06-20,2100761
2021-06-21,2030577
2021-06-22,1795141
2021-06-23,1801329
2021-06-24,2085327
2021-06-25,2137584
2021-06-26,1918705
2021-06-27,2167380
2021-06-28,2066964
2021-06-29,1808306
2021-06-30,1920663
2021-07-01,2147090
2021-07-02,2196411
2021-07-03,1915017
2021-07-04,1681896
2021-07-05,2160147
2021-07-06,1889911
2021-07-07,1880160
2021-07-08,2027364
2021-07-09,2147903
2021-07-10,1987652
2021-07-11,2198635
2021-07-12,2093066
2021-07-13,1832878
2021-07-14,1900945
2021-07-15,2152053
2021-07-16,2199815
2021-07-17,1979981
2021-07-18,2227704
2021-07-19,2141429
2021-07-20,1871986
2021-07-21,1934918
2021-07-22,2101343
2021-07-23,2159300
2021-07-24,1942871
2021-07-25,2177129
2021-07-26,2124474
2021-07-27,1858328
2021-07-28,1923980
2021-07-29,2127634
2021-07-30,2198585
2021-07-31,2007412
