Date,Administered
2021-05-01,502980017
2021-05-02,507291071
2021-05-03,509700681
2021-05-04,511684721
2021-05-05,515317513
2021-05-06,520178645
2021-05-07,525833299
2021-05-08,531012992
2021-05-09,535799586
2021-05-10,539573811
2021-05-11,542649370
2021-05-12,545776624
2021-05-13,549673486
2021-05-14,553393155
2021-05-15,558222357
2021-05-16,562449840
2021-05-17,565435800
2021-05-18,567685925
2021-05-19,571224729
2021-05-20,575479362
2021-05-21,579917747
2021-05-22,584647111
2021-05-23,588239955
2021-05-24,590589971
2021-05-25,592383117
2021-05-26,595259411
2021-05-27,598313357
2021-05-28,601101246
2021-05-29,604348968
2021-05-30,606816105
2021-05-31,608744277
2021-06-01,609771995
2021-06-02,610790920
2021-06-03,612434670
2021-06-04,615258306
2021-06-05,617580696
2021-06-06,620057995
2021-06-07,622782869
2021-06-08,624929490
2021-06-09,626611258
2021-06-10,628501824
2021-06-11,630149528
2021-06-12,633379718
2021-06-13,635824147
2021-06-14,638491078
2021-06-15,640981695
2021-06-16,643043939
2021-06-17,647184023
2021-06-18,649363524
2021-06-19,651522305
2021-06-20,653233746
2021-06-21,654472673
2021-06-22,655768668
2021-06-23,657076451
2021-06-24,658728749
2021-06-25,659768925
2021-06-26,661633477
2021-06-27,664049390
2021-06-28,666272326
2021-06-29,667790635
2021-06-30,670567209
2021-07-01,673855029
2021-07-02,675184975
2021-07-03,677521708
2021-07-04,678824343
2021-07-05,679630015
2021-07-06,680094016
2021-07-07,680969411
2021-07-08,682372114
2021-07-09,683626952
2021-07-10,684836241
2021-07-11,686022381
2021-07-12,686923718
2021-07-13,687610091
2021-07-14,688711439
2021-07-15,689857403
2021-07-16,690979758
2021-07-17,692262907
2021-07-18,693277651
2021-07-19,694294317
2021-07-20,694665840
2021-07-21,695924500
2021-07-22,697259348
2021-07-23,698458911
2021-07-24,699823425
2021-07-25,701397151
2021-07-26,702184652
2021-07-27,702977705
2021-07-28,704494043
2021-07-29,705932348
2021-07-30,707660172
2021-07-31,709100426
