Date,Total_Cases,Administered,2021 Traveler Throughput
2021-05-02,36055.0,507291071,291427.0
2021-05-03,33243.0,509700681,-163290.0
2021-05-04,43588.0,511684721,-329569.0
2021-05-05,45055.0,515317513,134835.0
2021-05-06,43642.0,520178645,375112.0
2021-05-07,43805.0,525833299,59217.0
2021-05-08,36816.0,531012992,-273610.0
2021-05-09,27194.0,535799586,278148.0
2021-05-10,23869.0,539573811,-50083.0
2021-05-11,34542.0,542649370,-342229.0
2021-05-12,34597.0,545776624,109171.0
2021-05-13,36073.0,549673486,318851.0
2021-05-14,33868.0,553393155,-26954.0
2021-05-15,29705.0,558222357,-263294.0
2021-05-16,21161.0,562449840,397264.0
2021-05-17,18941.0,565435800,-115990.0
2021-05-18,28500.0,567685925,-326524.0
2021-05-19,28167.0,571224729,88072.0
2021-05-20,28275.0,575479362,232407.0
2021-05-21,26623.0,579917747,91937.0
2021-05-22,23241.0,584647111,-270389.0
2021-05-23,15410.0,588239955,313653.0
2021-05-24,15657.0,590589971,-116344.0
2021-05-25,23401.0,592383117,-276513.0
2021-05-26,23975.0,595259411,147329.0
2021-05-27,21786.0,598313357,236365.0
2021-05-28,20723.0,601101246,105059.0
2021-05-29,15722.0,604348968,-353783.0
2021-05-30,11814.0,606816105,44644.0
2021-05-31,9200.0,608744277,249716.0
2021-06-01,9690.0,609771995,-217418.0
2021-06-02,16113.0,610790920,-94842.0
2021-06-03,18581.0,612434670,228021.0
2021-06-04,18933.0,615258306,63954.0
2021-06-05,15546.0,617580696,-198693.0
2021-06-06,12103.0,620057995,303466.0
2021-06-07,10125.0,622782869,-156262.0
2021-06-08,14357.0,624929490,-267835.0
2021-06-09,19875.0,626611258,108976.0
2021-06-10,16733.0,628501824,305652.0
2021-06-11,14530.0,630149528,53772.0
2021-06-12,11903.0,633379718,-216164.0
2021-06-13,8593.0,635824147,284636.0
2021-06-14,8076.0,638491078,-296479.0
2021-06-15,13223.0,640981695,-122266.0
2021-06-16,13731.0,643043939,113682.0
2021-06-17,13582.0,647184023,247055.0
2021-06-18,11441.0,649363524,41690.0
2021-06-19,11713.0,651522305,-198734.0
2021-06-20,9238.0,653233746,218380.0
2021-06-21,8438.0,654472673,-70184.0
2021-06-22,13639.0,655768668,-235436.0
2021-06-23,14586.0,657076451,6188.0
2021-06-24,15421.0,658728749,283998.0
2021-06-25,13579.0,659768925,52257.0
2021-06-26,12569.0,661633477,-218879.0
2021-06-27,9413.0,664049390,248675.0
2021-06-28,9747.0,666272326,-100416.0
2021-06-29,16303.0,667790635,-258658.0
2021-06-30,17451.0,670567209,112357.0
2021-07-01,18871.0,673855029,226427.0
2021-07-02,16985.0,675184975,49321.0
2021-07-03,15117.0,677521708,-281394.0
2021-07-04,12863.0,678824343,-233121.0
2021-07-05,11640.0,679630015,478251.0
2021-07-06,15128.0,680094016,-270236.0
2021-07-07,23747.0,680969411,-9751.0
2021-07-08,30047.0,682372114,147204.0
2021-07-09,30069.0,683626952,120539.0
2021-07-10,24345.0,684836241,-160251.0
2021-07-11,21088.0,686022381,210983.0
2021-07-12,22860.0,686923718,-105569.0
2021-07-13,35041.0,687610091,-260188.0
2021-07-14,39994.0,688711439,68067.0
2021-07-15,42356.0,689857403,251108.0
2021-07-16,42891.0,690979758,47762.0
2021-07-17,37518.0,692262907,-219834.0
2021-07-18,35631.0,693277651,247723.0
2021-07-19,35969.0,694294317,-86275.0
2021-07-20,50009.0,694665840,-269443.0
2021-07-21,64051.0,695924500,62932.0
2021-07-22,70178.0,697259348,166425.0
2021-07-23,68257.0,698458911,57957.0
2021-07-24,59291.0,699823425,-216429.0
2021-07-25,51561.0,701397151,234258.0
2021-07-26,52496.0,702184652,-52655.0
2021-07-27,80696.0,702977705,-266146.0
2021-07-28,90523.0,704494043,65652.0
2021-07-29,92603.0,705932348,203654.0
2021-07-30,104993.0,707660172,70951.0
2021-07-31,87406.0,709100426,-191173.0
